local;cod;quant;dicofre
Portugal;PT;1116399;PT
Continente;1;906929;1
Norte;11;222400;11
Alto Minho;111;20036;111
Arcos de Valdevez;1111601;6266;111601
Aboim das Choças;111160101;43;160101
Aguiã;111160102;36;160102
Ázere;111160104;50;160104
Cabana Maior;111160105;80;160105
Cabreiro;111160106;496;160106
Cendufe;111160108;10;160108
Couto;111160109;36;160109
Gavieira;111160113;1530;160113
Gondoriz;111160115;540;160115
Jolda (São Paio);111160142;6;160142
Miranda;111160121;78;160121
Monte Redondo;111160122;18;160122
Oliveira;111160123;19;160123
Paçô;111160124;106;160124
Padroso;111160125;197;160125
Prozelo;111160128;93;160128
Rio de Moinhos;111160131;64;160131
Rio Frio;111160130;134;160130
Sabadim;111160133;19;160133
Senharei;111160144;106;160144
Sistelo;111160145;555;160145
Soajo;111160146;605;160146
União das freguesias de Alvora e Loureda;111160152;128;160152
União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;111160154;69;160154
União das freguesias de Arcos de Valdevez (São Paio) e Giela;111160153;88;160153
União das freguesias de Eiras e Mei;111160155;27;160155
União das freguesias de Grade e Carralcova;111160156;307;160156
União das freguesias de Guilhadeses e Santar;111160157;82;160157
União das freguesias de Jolda (Madalena) e Rio Cabrão;111160158;24;160158
União das freguesias de Padreiro (Salvador e Santa Cristina);111160159;97;160159
União das freguesias de Portela e Extremo;111160160;27;160160
União das freguesias de São Jorge e Ermelo;111160161;70;160161
União das freguesias de Souto e Tabaçô;111160162;72;160162
União das freguesias de Távora (Santa Maria e São Vicente);111160163;48;160163
União das freguesias de Vilela, São Cosme e São Damião e Sá;111160164;212;160164
Vale;111160149;198;160149
Caminha;1111602;150;111602
Âncora;111160201;14;160201
Argela;111160205;11;160205
Dem;111160209;5;160209
Lanhelas;111160211;0;160211
Riba de Âncora;111160214;25;160214
Seixas;111160215;0;160215
União das freguesias de Arga (Baixo, Cima e São João);111160221;9;160221
União das freguesias de Caminha (Matriz) e Vilarelho;111160222;14;160222
União das freguesias de Gondar e Orbacém;111160223;21;160223
União das freguesias de Moledo e Cristelo;111160224;3;160224
União das freguesias de Venade e Azevedo;111160225;15;160225
Vila Praia de Âncora;111160217;9;160217
Vilar de Mouros;111160218;17;160218
Vile;111160220;6;160220
Melgaço;1111603;1248;111603
Alvaredo;111160301;2;160301
Cousso;111160304;0;160304
Cristoval;111160305;42;160305
Fiães;111160307;194;160307
Gave;111160308;156;160308
Paderne;111160311;7;160311
Penso;111160313;0;160313
São Paio;111160317;45;160317
União das freguesias de Castro Laboreiro e Lamas de Mouro;111160319;693;160319
União das freguesias de Chaviães e Paços;111160320;2;160320
União das freguesias de Parada do Monte e Cubalhão;111160321;89;160321
União das freguesias de Prado e Remoães;111160322;1;160322
União das freguesias de Vila e Roussas;111160323;18;160323
Monção;1111604;1227;111604
Abedim;111160401;2;160401
Barbeita;111160404;11;160404
Barroças e Taias;111160405;2;160405
Bela;111160406;2;160406
Cambeses;111160407;1;160407
Lara;111160410;5;160410
Longos Vales;111160411;47;160411
Merufe;111160415;392;160415
Moreira;111160418;6;160418
Pias;111160420;51;160420
Pinheiros;111160421;0;160421
Podame;111160422;1;160422
Portela;111160423;0;160423
Riba de Mouro;111160424;213;160424
Segude;111160427;7;160427
Tangil;111160428;133;160428
Trute;111160431;7;160431
União das freguesias de Anhões e Luzio;111160434;148;160434
União das freguesias de Ceivães e Badim;111160435;2;160435
União das freguesias de Mazedo e Cortes;111160436;6;160436
União das freguesias de Messegães, Valadares e Sá;111160437;7;160437
União das freguesias de Monção e Troviscoso;111160438;5;160438
União das freguesias de Sago, Lordelo e Parada;111160439;180;160439
União das freguesias de Troporiz e Lapela;111160440;0;160440
Paredes de Coura;1111605;1815;111605
Agualonga;111160501;2;160501
Castanheira;111160503;79;160503
Coura;111160505;23;160505
Cunha;111160507;75;160507
Infesta;111160510;32;160510
Mozelos;111160513;80;160513
Padornelo;111160514;70;160514
Parada;111160515;79;160515
Romarigães;111160519;6;160519
Rubiães;111160520;45;160520
União das freguesias de Bico e Cristelo;111160522;504;160522
União das freguesias de Cossourado e Linhares;111160523;26;160523
União das freguesias de Formariz e Ferreira;111160524;421;160524
União das freguesias de Insalde e Porreiras;111160525;171;160525
União das freguesias de Paredes de Coura e Resende;111160526;55;160526
Vascões;111160521;150;160521
Ponte da Barca;1111606;1256;111606
Azias;111160601;107;160601
Boivães;111160602;31;160602
Bravães;111160603;25;160603
Britelo;111160604;74;160604
Cuide de Vila Verde;111160606;23;160606
Lavradas;111160611;73;160611
Lindoso;111160612;266;160612
Nogueira;111160613;5;160613
Oleiros;111160614;90;160614
Sampriz;111160619;66;160619
União das freguesias de Crasto, Ruivos e Grovelas;111160626;61;160626
União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;111160627;144;160627
União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;111160628;137;160628
União das freguesias de Touvedo (São Lourenço e Salvador);111160629;63;160629
União das freguesias de Vila Chã (São João Baptista e Santiago);111160630;80;160630
Vade (São Pedro);111160623;7;160623
Vade (São Tomé);111160624;6;160624
Ponte de Lima;1111607;3950;111607
Anais;111160701;23;160701
Arca e Ponte de Lima;111160752;103;160752
Arcozelo;111160704;138;160704
Ardegão, Freixo e Mato;111160753;499;160753
Associação de freguesias do Vale do Neiva;111160754;86;160754
Bárrio e Cepões;111160755;7;160755
Beiral do Lima;111160707;114;160707
Bertiandos;111160708;23;160708
Boalhosa;111160709;18;160709
Brandara;111160710;2;160710
Cabaços e Fojo Lobal;111160756;84;160756
Cabração e Moreira do Lima;111160757;92;160757
Calheiros;111160713;20;160713
Calvelo;111160714;195;160714
Correlhã;111160716;438;160716
Estorãos;111160717;24;160717
Facha;111160718;18;160718
Feitosa;111160719;35;160719
Fontão;111160721;368;160721
Fornelos e Queijada;111160758;25;160758
Friastelas;111160724;20;160724
Gandra;111160726;32;160726
Gemieira;111160727;37;160727
Gondufe;111160728;41;160728
Labruja;111160729;23;160729
Labrujó, Rendufe e Vilar do Monte;111160759;180;160759
Navió e Vitorino dos Piães;111160760;50;160760
Poiares;111160734;954;160734
Rebordões (Santa Maria);111160744;100;160744
Rebordões (Souto);111160747;18;160747
Refóios do Lima;111160737;39;160737
Ribeira;111160739;49;160739
Sá;111160740;15;160740
Santa Comba;111160742;0;160742
Santa Cruz do Lima;111160743;37;160743
